"transactionId","memberId","bookIsbn","loanDate","dueDate","returnDate","status"
"5b71c763-533f-45ec-b9e8-b729696afdc4","202410370110248","978-602-06-2033-1","2025-06-15","2025-06-29","","DIPINJAM"
"8a48be0a-772c-4ff6-8fe1-8d27f7ef4183","202410370110248","978-602-06-2535-0","2025-06-15","2025-06-22","","DIPINJAM"
"c4879d90-f3de-48d2-913f-6a0e6412ac80","202410370110248","978-979-407-189-3","2025-06-15","2025-07-15","","DIPINJAM"
"cdb1030a-05ad-4011-befe-25fec356ce03","202410370110267","978-602-291-633-8","2025-06-15","2025-06-22","","DIPINJAM"
"65373e85-148c-4662-be5c-25d26683c5a8","202410370110267","978-979-91-0027-4","2025-06-15","2025-06-29","","DIPINJAM"
"69868ca8-9a72-48fc-9ed8-f4b90b35e013","202410370110267","978-623-7351-29-1","2025-06-15","2025-07-15","","DIPINJAM"
"733eaadd-c1ea-4555-9b25-928f8b878c24","202410370110235","978-623-00-0292-3","2025-06-15","2025-07-15","","DIPINJAM"
"3dbd11df-2b6a-4794-aa05-1246e1c864a4","202410370110235","978-979-3062-79-4","2025-06-15","2025-06-22","","DIPINJAM"
"41166f5c-e4b4-49eb-9243-74384ceafc42","202410370110235","978-979-97312-3-6","2025-06-15","2025-06-29","","DIPINJAM"
"722da925-5728-41fa-8f03-6198b4b327b5","202410370110235","978-979-3062-79-2","2025-06-16","2025-06-23","","DIPINJAM"
